ascii_value,name_len,num_vowels,num_consonent,last_letter_vowel,class
102.0,7,4,3,0,1
102.0,6,4,2,1,1
102.333,6,4,2,1,1
102.571,7,4,3,0,1
103.0,6,4,2,1,1
103.429,7,4,3,1,1
103.286,7,4,3,1,1
104.167,6,4,2,1,1
104.143,7,4,3,0,1
104.333,6,4,2,1,1
101.5,6,3,3,0,1
103.667,6,3,3,0,1
103.0,4,2,2,0,1
101.8,5,3,2,1,1
102.167,6,3,3,0,1
101.5,6,3,3,1,1
103.286,7,3,4,1,1
103.5,8,4,4,1,1
102.6,5,3,2,1,1
103.4,5,3,2,1,1
102.333,6,4,2,1,1
103.0,6,4,2,1,1
103.667,6,4,2,1,1
105.333,6,3,3,0,1
103.167,6,3,3,1,1
103.286,7,3,4,0,1
104.5,6,3,3,1,1
106.0,7,3,4,0,1
104.833,6,3,3,1,1
106.6,5,2,3,0,1
108.0,6,2,4,0,1
102.6,5,3,2,1,1
103.167,6,4,2,1,1
103.5,6,3,3,1,1
104.333,6,4,2,1,1
105.0,6,4,2,1,1
104.0,5,3,2,1,1
104.0,6,3,3,0,1
103.429,7,4,3,1,1
104.167,6,4,2,1,1
104.143,7,4,3,0,1
104.333,6,3,3,1,1
104.286,7,3,4,0,1
104.667,6,3,3,1,1
104.571,7,3,4,0,1
105.0,6,3,3,1,1
104.857,7,3,4,0,1
105.667,6,3,3,1,1
105.714,7,3,4,1,1
105.571,7,3,4,1,1
105.5,8,4,4,1,1
105.714,7,4,3,1,1
107.143,7,3,4,1,1
107.0,6,3,3,1,1
106.714,7,4,3,1,1
103.667,6,4,2,1,1
107.0,6,3,3,0,1
105.833,6,3,3,1,1
100.0,4,2,2,1,1
101.167,6,3,3,1,1
105.167,6,2,4,0,1
101.833,6,3,3,1,1
102.5,8,4,4,1,1
105.667,6,2,4,0,1
104.429,7,3,4,1,1
104.375,8,3,5,1,1
104.5,8,4,4,1,1
105.111,9,4,5,1,1
105.556,9,4,5,1,1
106.429,7,3,4,1,1
102.667,6,3,3,1,1
101.8,5,3,2,1,1
102.5,6,3,3,1,1
102.714,7,3,4,1,1
105.0,7,3,4,1,1
102.0,5,3,2,1,1
100.5,4,2,2,1,1
101.2,5,2,3,0,1
100.6,5,3,2,1,1
102.167,6,3,3,0,1
103.2,5,2,3,0,1
102.167,6,3,3,1,1
102.833,6,3,3,1,1
102.833,6,3,3,1,1
103.5,6,3,3,1,1
103.833,6,3,3,1,1
104.0,7,4,3,1,1
100.75,4,3,1,1,1
101.4,5,3,2,0,1
100.667,6,4,2,1,1
102.6,5,3,2,0,1
101.667,6,4,2,1,1
102.857,7,4,3,1,1
103.167,6,4,2,1,1
102.714,7,4,3,1,1
101.25,4,2,2,0,1
101.167,6,4,2,1,1
100.6,5,3,2,1,1
100.8,5,4,1,1,1
101.333,6,4,2,0,1
101.167,6,4,2,1,1
101.143,7,5,2,1,1
102.429,7,4,3,0,1
103.4,5,3,2,0,1
102.333,6,4,2,1,1
102.571,7,4,3,0,1
103.0,6,4,2,1,1
103.167,6,4,2,1,1
103.286,7,4,3,1,1
104.167,6,4,2,1,1
104.143,7,4,3,0,1
104.333,6,4,2,1,1
103.0,9,4,5,1,1
103.333,6,3,3,1,1
103.571,7,4,3,1,1
101.6,5,4,1,1,1
102.0,6,4,2,0,1
101.333,6,4,2,1,1
103.0,6,3,3,0,1
102.143,7,4,3,1,1
103.0,6,4,2,1,1
103.857,7,4,3,1,1
104.833,6,4,2,1,1
104.714,7,4,3,0,1
105.0,6,4,2,1,1
101.8,5,3,2,1,1
102.167,6,3,3,0,1
103.333,9,4,5,1,1
104.091,11,5,6,1,1
104.889,9,4,5,1,1
105.0,7,3,4,1,1
104.167,6,3,3,1,1
104.6,10,4,6,1,1
104.286,7,4,3,1,1
103.8,5,3,2,1,1
102.6,5,3,2,1,1
103.4,5,3,2,1,1
103.833,6,3,3,1,1
103.6,5,3,2,1,1
103.571,7,4,3,1,1
